FabricType,StitchCount,ThreadTension,SeamStrength,ColorConsistency,MeasurementAccuracy,ButtonAttachmentStrength,LabelPositionAccuracy,PrintAlignment,BrokenStitches,OilStains,LooseThreads,IroningQuality,PackingQuality,Shift,GarmentType,Humidity,Temperature,ProductionTimePerPiece(min),DefectCountInBatch,IsDefective
Polyester,44.00749194,3.880525977,34.63449749,1,99.33839078,37.6,0,Aligned,10.96671221,1,8,0,Good,Morning,Blazer,46.4059921,22.91324348,4.72,3,1
Denim,45.43920393,3.546218169,29.66610608,1,99.55892719,21.26,0,Aligned,12.60913556,1,9,1,Good,Night,Trousers,54.88913293,28.1558634,4.98,2,1
Cotton,53.00293918,3.711614335,29.55578241,1,99.77946359,31.44,1,Slightly Off,10.69150146,0,5,0,Wet,Evening,Jeans,56.06931903,32.34979252,6.12,1,1
Polyester,51.80820988,4.377695613,33.70599139,1,99.55892719,37.53,0,Slightly Off,12.70757897,0,9,1,Wet,Morning,Blazer,50.91844432,28.05797694,6.25,2,0
Linen,49.30851905,4.250458594,34.84951537,1,99.55892719,20.14,0,Misaligned,16.40387058,1,6,1,Good,Morning,Jeans,41.15021863,27.51471519,5.7,2,0
Cotton,40.90085584,3.511222378,32.82919989,1,99.33839078,24.03,1,Aligned,15.30055789,0,1,0,Damaged,Evening,Blazer,51.4451769,25.1292788,3.95,3,1
Denim,56.69655186,4.049666153,33.1130276,1,99.77946359,30.29,0,Slightly Off,16.08084024,1,1,0,Wet,Evening,Trousers,54.0718595,24.20900689,4.31,1,0
Polyester,56.78507878,4.375693562,41.5064263,1,99.55892719,29.53,1,Aligned,7.040138527,0,6,1,Damaged,Morning,Blazer,40.5681838,27.06540965,3.14,2,0
Denim,45.22196827,3.165297359,22.62855292,1,99.55892719,30.59,1,Aligned,11.64227797,1,7,0,Damaged,Morning,Blazer,45.81908761,23.91213468,3.18,2,0
Cotton,52.82827471,4.271680096,34.11439851,1,99.33839078,24.81,1,Misaligned,13.15234731,1,1,0,Good,Night,Shirt,47.83149287,30.36928561,3.1,3,1
Cotton,44.22085423,3.668688121,28.23032896,1,99.77946359,31.29,1,Misaligned,17.18750628,0,2,0,Good,Evening,Jeans,36.39638151,25.26735709,6.92,1,1
Denim,53.54331221,4.285299334,31.02697004,1,99.11785438,37.77,1,Misaligned,13.38072261,0,5,0,Damaged,Morning,Jeans,56.28235671,24.46964076,3.5,4,0
Linen,48.77123773,3.618370422,28.48771217,1,99.55892719,33.8,0,Slightly Off,9.6845869,1,7,0,Good,Night,Trousers,57.36956802,33.75203228,4.65,2,0
Cotton,35.93511618,3.09755895,26.0324595,1,99.77946359,27.14,0,Slightly Off,12.5009101,0,3,0,Damaged,Evening,Shirt,49.55674023,30.89658101,4.42,1,1
Linen,45.07813034,3.186228781,27.06252079,1,99.33839078,21.73,1,Misaligned,14.62775575,1,2,0,Wet,Night,Jeans,41.31384649,23.4148636,3.91,3,1
Linen,50.11766247,4.024042473,38.70369632,1,98.89731797,29.59,0,Misaligned,11.45793649,0,7,0,Wet,Evening,Trousers,59.06986546,24.35332004,3.04,5,0
Cotton,37.52694432,4.129861251,34.43229242,0,99.33839078,23.54,1,Aligned,9.343960125,1,3,1,Wet,Night,Trousers,60.46079754,26.41531783,4.9,3,0
Denim,46.99156738,3.547841687,31.83314391,1,99.55892719,31.86,0,Misaligned,12.0335533,1,2,1,Damaged,Morning,Shirt,55.98582337,26.51731038,3.34,2,1
Cotton,45.47002969,4.319296229,34.75265257,1,100,39.13,1,Aligned,11.31809948,1,10,0,Damaged,Evening,Shirt,55.41561617,25.62363672,3.31,0,1
Polyester,42.32674343,3.169239969,30.38808655,0,98.89731797,22.17,1,Misaligned,10.40675615,1,9,0,Good,Morning,Trousers,60.93943494,31.0102172,5.19,5,1
Denim,52.1111112,3.966960101,38.93102866,1,100,20.45,1,Aligned,15.01960702,0,7,1,Wet,Night,Blazer,54.04531333,27.63154015,6.43,0,0
Polyester,42.38336579,3.3944919,28.74919059,1,99.11785438,30.24,1,Aligned,11.89217173,1,6,1,Wet,Night,Shirt,45.82241958,26.88924302,6.52,4,1
Denim,46.80738785,3.674081946,26.41467852,1,99.11785438,30.53,0,Aligned,12.43410743,0,3,0,Good,Morning,Jeans,54.29715993,25.17579754,5.13,4,1
Polyester,53.77874597,4.023699336,30.54317962,1,100,40,0,Aligned,15.05775944,0,7,0,Good,Night,Shirt,51.07948056,23.84515307,4.2,0,0
Linen,40.35938144,3.569793317,29.40414945,1,99.33839078,31.57,0,Aligned,12.48541737,1,6,0,Wet,Morning,Shirt,54.29684604,25.12641185,3.89,3,0
Denim,49.65981503,3.807722228,31.83127193,0,99.55892719,24.64,0,Aligned,15.32563203,1,2,0,Damaged,Evening,Jeans,63.84266308,24.37256285,5.12,2,0
Linen,59.85287337,4.503146405,38.12044664,1,99.11785438,35.49,1,Aligned,7.906104608,1,7,0,Damaged,Evening,Jeans,42.97921551,23.22197201,6.52,4,1
Cotton,53.33906177,3.711554065,31.07302557,1,99.11785438,35.41,1,Slightly Off,13.87575961,0,5,0,Wet,Morning,Blazer,56.77474475,30.23413086,6.02,4,0
Polyester,47.48525124,4.417846056,35.3637232,1,100,32.69,1,Misaligned,13.68227496,1,5,1,Wet,Morning,Trousers,42.47414551,29.79042889,3.09,0,0
Polyester,43.2643392,3.435146573,25.57257726,1,99.55892719,34.03,1,Misaligned,10.64010286,1,5,0,Damaged,Evening,Shirt,45.81819323,25.8761234,3.52,2,1
Denim,46.37137907,4.264902089,35.3226315,0,99.33839078,30.15,0,Aligned,10.93508704,1,2,0,Good,Evening,Trousers,70.73837635,30.9531339,6.2,3,1
Polyester,51.62980164,4.72078431,43.33123656,1,99.77946359,24.98,0,Misaligned,10.08540463,0,9,1,Wet,Evening,Shirt,59.57306454,28.77082978,5.86,1,1
Linen,34.96527186,2.76417775,25.17320782,1,100,34.68,1,Slightly Off,15.10056215,1,6,0,Damaged,Evening,Trousers,56.60941197,23.75861021,5.93,0,0
Denim,43.60590754,3.601552372,30.41653083,1,99.33839078,29.74,1,Aligned,14.22130011,0,0,0,Wet,Night,Trousers,38.41528124,22.62621859,4,3,0
Polyester,57.18744016,4.288536064,37.39698928,1,99.11785438,34.16,1,Slightly Off,8.689309277,0,3,1,Damaged,Evening,Blazer,52.64259732,27.91803961,3.38,4,0
Cotton,45.05084544,3.898477307,30.07462637,1,99.77946359,39.72,0,Misaligned,12.02288081,1,3,1,Damaged,Morning,Jeans,34.27209101,28.42804728,3.05,1,1
Denim,49.55661806,4.185572937,31.95978806,1,99.11785438,36.94,1,Slightly Off,16.40280865,1,0,0,Wet,Evening,Trousers,55.37252722,23.12177157,4.04,4,1
Cotton,45.43361019,3.698007407,27.34070394,1,99.77946359,23.24,0,Aligned,15.76561556,0,3,0,Wet,Night,Jeans,42.53036301,25.4230571,4.69,1,0
Denim,44.21039447,4.043294894,31.97049928,0,99.33839078,33.17,0,Misaligned,14.29494175,0,6,1,Good,Morning,Blazer,60.57843744,29.55942691,5.94,3,1
Denim,43.45058736,3.922161382,30.11127337,1,99.77946359,38.57,1,Slightly Off,11.57733844,1,3,0,Good,Evening,Trousers,56.61303916,31.71265136,4.59,1,0
Denim,60.5871857,4.583891031,40.29595247,1,98.89731797,24.01,0,Slightly Off,17.21871041,1,6,1,Good,Evening,Blazer,42.83907296,27.25322882,4.26,5,1
Cotton,46.78174985,4.127210422,31.59171312,1,99.77946359,34.31,1,Misaligned,14.83502172,0,7,1,Wet,Morning,Blazer,58.81593176,27.16877541,6.12,1,1
Denim,55.9379988,4.168801331,30.9422455,0,99.11785438,24.43,1,Aligned,11.77465394,1,4,0,Good,Morning,Jeans,75.93388264,25.64675974,6.86,4,1
Denim,48.56530111,3.794061517,36.18022367,1,98.89731797,28.28,1,Misaligned,13.07310911,1,6,0,Damaged,Morning,Shirt,52.97274563,31.46168601,5.4,5,0
Linen,37.33670753,3.756196888,28.69544941,0,99.11785438,24.65,1,Aligned,11.11105726,1,3,1,Damaged,Evening,Blazer,63.80302952,28.66764441,4.26,4,0
Linen,48.05654433,3.783720906,30.73035262,1,98.89731797,37.01,1,Misaligned,13.61267326,0,1,0,Damaged,Night,Shirt,33.97013561,24.47674638,6.37,5,1
Denim,52.97911197,4.197226071,34.93177704,1,99.33839078,23.7,0,Aligned,13.38477296,0,8,1,Good,Morning,Trousers,59.67695945,29.34634612,4.94,3,0
Polyester,47.58873616,3.78950776,26.90598272,1,99.77946359,36.71,1,Aligned,14.52880873,0,4,0,Wet,Night,Trousers,49.30727309,24.8972,6.95,1,1
Denim,49.02926551,4.144887428,36.86555074,1,99.77946359,27.63,0,Slightly Off,11.16817347,0,10,0,Damaged,Morning,Shirt,52.30985177,24.14464332,6.05,1,0
Linen,55.75206751,5.037700399,42.21296032,0,99.11785438,27.15,1,Misaligned,5.503501188,0,1,0,Good,Morning,Jeans,60.95114498,25.65837988,5.8,4,1
Cotton,59.95781205,4.435562352,40.15965085,1,99.77946359,36.16,0,Aligned,11.85424034,1,4,0,Damaged,Night,Trousers,52.56518362,24.41843294,5.06,1,0
Polyester,45.53596086,3.836988234,28.65824006,1,100,33.41,0,Misaligned,14.44640405,1,4,0,Good,Morning,Shirt,38.82561946,24.28578052,6.06,0,1
Polyester,50.79025273,4.600606961,37.10223307,0,100,27.99,1,Aligned,7.863126057,1,7,0,Good,Evening,Blazer,70.27220359,22.80259906,4.43,0,1
Cotton,47.83889119,3.795962313,30.48576577,1,100,35.69,0,Aligned,12.13557764,0,8,0,Damaged,Night,Jeans,40.49799682,24.90399791,4.08,0,0
Linen,32.05735294,2.980937732,24.63916734,1,99.55892719,27.19,1,Misaligned,18.06252201,1,9,0,Damaged,Night,Jeans,46.60464809,25.40092364,5.1,2,0
Cotton,37.20605199,3.495956845,23.60381051,1,99.77946359,31.87,0,Aligned,9.397661137,0,7,0,Damaged,Morning,Trousers,56.28118564,22.94595834,6.22,1,0
Polyester,34.89788541,3.064604039,24.84934145,1,99.77946359,29.92,1,Misaligned,13.01958887,1,2,1,Damaged,Morning,Shirt,56.37433521,28.62044866,4.44,1,0
Denim,42.56393027,3.824243258,26.31455433,1,99.77946359,25.57,0,Slightly Off,16.81293093,1,9,0,Good,Evening,Blazer,59.27972467,21.70084138,4.42,1,1
Polyester,43.54929902,4.00920919,33.14867573,1,99.33839078,30.66,0,Aligned,12.45472768,1,8,0,Good,Night,Jeans,56.33268674,25.85654299,5.2,3,0
Cotton,62.09068268,4.838218656,32.31980188,0,100,36.62,1,Aligned,8.745527203,0,0,1,Damaged,Morning,Blazer,66.4841983,28.98362777,6.51,0,0
Denim,49.39242517,4.163463687,27.75294899,1,99.11785438,33.96,1,Aligned,11.65197785,0,6,0,Wet,Night,Trousers,59.90298561,30.39647518,3.91,4,0
Linen,52.94679655,3.890449736,33.57924403,1,99.11785438,30.96,1,Misaligned,14.69685193,0,8,0,Wet,Evening,Blazer,43.14299738,25.27574628,6.48,4,0
Denim,48.7038861,4.414702791,33.67710696,1,99.55892719,38.88,1,Aligned,10.56007781,0,9,0,Good,Morning,Jeans,30,30.04003461,6.17,2,0
Polyester,30,2.894432345,20.19188454,1,99.33839078,24.77,1,Slightly Off,16.00388165,1,7,0,Damaged,Evening,Blazer,56.51087807,25.89760631,3.78,3,1
Linen,50.15753909,4.117807279,36.7549951,0,99.55892719,23.9,1,Slightly Off,12.46935592,0,8,0,Damaged,Night,Shirt,69.6614283,33.7652457,3.85,2,1
Denim,61.90508577,4.385432597,36.06633943,1,100,20.33,0,Slightly Off,12.18037004,1,8,0,Damaged,Night,Trousers,42.47627087,22.62057551,5.05,0,1
Cotton,41.78341667,3.260706877,28.7019256,1,99.55892719,29.68,0,Misaligned,15.46321078,0,6,0,Wet,Evening,Blazer,44.50050782,23.97905641,4.83,2,1
Polyester,70.93939524,4.571877022,36.07628996,1,99.77946359,20.89,0,Slightly Off,9.971761708,1,4,1,Good,Night,Blazer,58.54855555,27.48311255,3.46,1,1
Polyester,51.69127405,4.169248204,41.39287171,1,99.33839078,35.05,0,Slightly Off,8.827971334,0,6,0,Damaged,Morning,Jeans,59.82993258,23.21592994,5.27,3,1
Cotton,46.68603357,3.792356043,28.52530676,0,99.33839078,23.48,1,Misaligned,13.83847473,1,9,0,Good,Night,Jeans,66.22284684,24.87586443,3.63,3,1
Denim,41.01987784,4.316390933,39.76461411,0,99.11785438,32.87,1,Aligned,10.9700058,0,5,1,Wet,Night,Blazer,71.41110263,28.35870716,5.74,4,0
Cotton,63.76389435,5.135346429,40.89867331,1,99.33839078,21.92,1,Misaligned,8.384973464,0,2,1,Damaged,Morning,Blazer,57.36084795,27.57344421,5.01,3,1
Polyester,49.93453633,4.090933128,27.76393384,1,99.11785438,34.24,1,Misaligned,13.39728961,0,7,1,Damaged,Night,Trousers,45.73299145,26.89480459,3.72,4,1
Polyester,47.45221753,4.124110293,34.44142858,1,99.77946359,35.35,0,Slightly Off,15.58382066,1,5,1,Wet,Night,Jeans,46.03883496,26.92598674,6.32,1,1
Linen,44.55994027,3.77031955,31.10684409,1,100,30.86,0,Slightly Off,11.99562575,1,9,0,Damaged,Night,Blazer,49.56372493,20,3.11,0,1
Cotton,42.56043091,3.575077815,25.44665708,0,99.55892719,23.98,1,Aligned,12.87519299,0,1,1,Damaged,Evening,Jeans,65.31208551,27.44579205,3.75,2,0
Polyester,52.08236913,4.415167908,32.55468543,1,99.11785438,21.08,1,Misaligned,7.624362526,0,4,0,Damaged,Evening,Jeans,49.99916265,25.09199333,4.86,4,1
Cotton,53.31207186,3.571958087,28.50157177,0,99.77946359,36.66,0,Slightly Off,12.188,0,4,0,Damaged,Evening,Trousers,64.61577313,25.89088706,6.57,1,0
Polyester,46.57508728,4.035783119,33.33550839,1,99.55892719,34.85,0,Aligned,12.5923051,0,10,0,Wet,Evening,Shirt,39.75166045,22.22947838,6.38,2,1
Cotton,45.98062394,3.761171277,22.67738036,1,99.55892719,30.65,0,Slightly Off,12.41632515,1,0,1,Damaged,Night,Blazer,57.87160717,29.01956105,3.8,2,1
Denim,48.85437354,4.239489913,37.07528366,1,99.11785438,34.06,1,Slightly Off,10.43455268,1,3,1,Wet,Night,Blazer,47.48908037,28.65544645,5.39,4,1
Denim,53.91912856,4.166831053,31.8511545,0,99.11785438,27.65,1,Aligned,13.84386291,0,4,0,Good,Night,Trousers,60.22109127,23.50549566,6.05,4,0
Polyester,55.10905817,4.518769972,32.15491732,1,99.11785438,30.83,0,Aligned,11.13648309,0,1,1,Wet,Evening,Trousers,52.43725735,27.53821376,3.51,4,0
Polyester,43.54034874,3.744991801,32.78313406,0,99.55892719,39.41,1,Slightly Off,20.27642575,0,7,0,Damaged,Morning,Jeans,62.97530797,31.93930306,6.71,2,0
Linen,36.75091066,3.865062532,30.84964632,1,99.77946359,33.27,0,Aligned,12.89303273,0,3,1,Wet,Night,Jeans,50.65086172,27.42032488,5.64,1,1
Polyester,43.34395883,3.510618142,31.73344247,1,99.55892719,38.52,1,Slightly Off,4.739255158,1,0,0,Wet,Evening,Jeans,54.74026849,20.95725958,4.8,2,0
Polyester,43.78635907,3.77785337,31.53668375,0,99.55892719,28.97,0,Aligned,9.108198434,0,1,0,Damaged,Evening,Blazer,63.08081562,25.28857288,4.37,2,0
Cotton,49.96009967,4.188650247,33.50465846,1,99.55892719,21.36,1,Slightly Off,13.21905734,1,1,1,Wet,Evening,Blazer,53.98108341,27.38091142,3.58,2,1
Polyester,46.62964196,4.378494308,34.56976463,1,99.33839078,29.15,1,Misaligned,9.313081984,1,10,0,Wet,Night,Shirt,55.58310529,33.34835198,6.02,3,0
Polyester,49.63341892,3.538917338,29.75947698,0,99.33839078,31.53,1,Aligned,11.17847452,0,5,0,Wet,Evening,Blazer,62.60475092,23.37254338,3.75,3,1
Polyester,57.5013514,4.43480296,34.2378299,1,99.11785438,36.43,1,Slightly Off,7.412704548,1,3,1,Good,Morning,Blazer,54.23247225,26.55781205,5.06,4,1
Polyester,63.28735714,4.677818929,34.86483367,1,99.33839078,37.4,1,Misaligned,9.214164729,0,7,0,Wet,Evening,Trousers,39.15188471,23.79778522,5.12,3,0
Denim,56.21550592,4.206717452,35.48346698,1,99.33839078,38.75,0,Slightly Off,12.16834836,0,1,1,Wet,Evening,Blazer,49.28959642,29.63769704,3.17,3,1
Denim,62.22236139,4.938397906,39.07371973,1,99.77946359,21.76,1,Aligned,11.28071133,1,6,0,Wet,Night,Shirt,35.76549534,25.90105932,5.58,1,1
Cotton,37.64585226,3.6131054,29.00554615,1,99.77946359,33.21,0,Misaligned,9.714102245,1,2,0,Good,Morning,Shirt,52.50058117,20,6.71,1,1
Denim,49.7490076,3.377672648,30.2895207,1,99.33839078,26.14,1,Misaligned,15.66087304,0,0,0,Wet,Evening,Shirt,59.71312555,25.8202243,3.55,3,1
Cotton,32.68950275,3.110639876,24.54348918,1,98.89731797,26.56,0,Aligned,10.20461298,0,8,1,Wet,Night,Blazer,56.24598336,26.66371111,3.84,5,1
Cotton,55.63422775,4.748022156,38.02927902,0,99.77946359,32.26,1,Slightly Off,11.81782402,0,6,1,Good,Evening,Blazer,68.94657122,28.16389492,6.01,1,0
Linen,55.46070534,4.327182828,32.81851409,0,99.33839078,38.19,1,Misaligned,12.35677467,1,1,1,Good,Evening,Shirt,67.82668262,27.54503948,5.86,3,0
Denim,51.44919591,3.972207665,33.06988112,1,99.77946359,26.14,1,Misaligned,9.252510116,0,6,1,Damaged,Morning,Jeans,57.56735554,28.97168574,5.98,1,0
Polyester,52.54099539,4.139984313,34.16935824,1,100,31.87,0,Slightly Off,8.560084795,1,7,1,Good,Morning,Shirt,31.07819008,26.62946432,5.24,0,0
Denim,39.24562331,3.437255476,30.20036921,0,99.33839078,33.83,1,Aligned,14.27236037,0,0,1,Damaged,Night,Shirt,61.71344933,27.25390005,4.17,3,0
Denim,59.63985374,5.22287599,40.04562141,1,99.55892719,24.82,1,Aligned,7.874600465,0,3,1,Wet,Morning,Jeans,47.28294423,27.03662605,3.8,2,1
Denim,61.44798993,4.064610591,31.14343382,0,99.33839078,32.22,0,Aligned,11.29928078,1,9,0,Wet,Morning,Trousers,63.81228392,25.75458198,6.21,3,1
Denim,48.45979908,4.054697397,34.81399138,1,99.33839078,32.32,0,Slightly Off,13.95261266,0,0,1,Damaged,Night,Trousers,58.12650327,28.70450092,4.92,3,1
Polyester,51.54574282,4.362883312,35.65970551,0,100,20.86,0,Slightly Off,12.71164486,0,2,1,Damaged,Morning,Blazer,61.56083648,29.54010996,6.92,0,1
Denim,47.31827294,4.240504616,31.20538255,0,99.55892719,32.66,1,Misaligned,8.771157223,0,7,1,Good,Night,Jeans,60.01669376,26.86884944,5.22,2,1
Linen,50.56665589,4.111942012,36.8151983,0,99.33839078,29.07,0,Misaligned,11.6153784,1,1,0,Good,Night,Jeans,78.90180916,25.52497578,4.64,3,0
Denim,44.24726727,3.604762772,23.74275047,0,99.33839078,32.81,0,Aligned,9.98632885,1,9,0,Good,Evening,Blazer,60.21183243,23.75244414,5.19,3,1
Polyester,50.7476791,4.235734179,36.23872769,1,98.89731797,29.39,1,Misaligned,14.13834849,1,1,1,Wet,Morning,Trousers,42.19860217,28.06483107,5.36,5,1
Denim,61.20078021,4.941012248,35.73246188,0,99.33839078,30.57,1,Misaligned,14.7275261,0,1,0,Good,Morning,Blazer,65.71312443,23.98944366,6.78,3,0
Polyester,64.89020779,4.672710023,43.03904573,1,99.11785438,26.56,1,Misaligned,8.119294008,0,4,1,Wet,Evening,Jeans,50.69557042,27.47833054,3.98,4,1
Polyester,54.58385623,4.796593313,33.73894733,0,99.77946359,26.42,1,Aligned,10.31331206,0,8,1,Damaged,Evening,Blazer,68.4519302,27.39337845,3.2,1,0
Cotton,45.14812465,3.744392162,33.41188925,0,99.11785438,29.34,1,Misaligned,15.26359871,0,8,0,Good,Morning,Blazer,70.42885053,30.20115257,3.19,4,0
Cotton,38.82312882,3.50519759,27.79667764,0,99.77946359,20.76,1,Slightly Off,13.06223785,0,2,0,Wet,Night,Trousers,61.21845499,31.16158662,4.6,1,1
Cotton,48.71877028,3.93710654,30.39704461,1,99.55892719,24.85,0,Slightly Off,13.81030278,1,8,0,Good,Morning,Shirt,42.22366581,20,5.79,2,1
Polyester,45.49200197,4.027862456,32.77908962,1,99.55892719,20.11,1,Misaligned,12.09909408,1,6,1,Damaged,Morning,Trousers,50.39681129,26.39549006,3.85,2,0
Linen,51.93793415,4.547095759,38.27246709,0,100,34,0,Misaligned,7.735397358,1,1,0,Wet,Morning,Blazer,68.40751517,20.69722723,3.1,0,1
Linen,30.54759535,3.153767685,22.51693997,0,99.77946359,33.26,1,Misaligned,14.04923968,0,3,0,Damaged,Morning,Jeans,74.99002587,30.48470063,5.84,1,0
Denim,57.66627583,4.76477516,35.6708381,1,99.11785438,33.8,1,Slightly Off,13.8523006,0,9,1,Damaged,Evening,Jeans,55.61926134,26.93043601,4.68,4,0
Cotton,49.20080072,3.920996051,33.316783,1,99.55892719,24.59,1,Misaligned,13.10088411,0,6,0,Wet,Morning,Trousers,52.25200585,30.45499631,6.34,2,0
Linen,54.74109535,3.786559465,25.17044686,1,99.77946359,36.69,1,Aligned,17.29790392,1,1,1,Wet,Morning,Trousers,43.19872558,27.7744817,5.04,1,0
Cotton,44.27488615,3.493947812,26.19889522,1,98.89731797,29.3,1,Slightly Off,7.697592798,1,7,0,Good,Night,Jeans,43.32950662,22.9491027,4.96,5,0
Linen,35.82243935,3.172571664,34.50263418,1,99.55892719,37.68,1,Misaligned,14.79199902,1,5,0,Good,Night,Blazer,57.32782138,24.09703453,5.64,2,0
Denim,46.14062807,4.411585292,32.38864344,0,99.11785438,30.54,1,Aligned,9.23280546,1,5,1,Damaged,Night,Blazer,62.00748152,26.5971443,5.76,4,0
Cotton,42.33347277,4.036658984,35.73668024,1,99.33839078,37.85,1,Misaligned,9.299788549,0,10,1,Wet,Evening,Jeans,40.12645016,28.70862044,4.73,3,1
Linen,33.7820929,3.35501955,25.08230409,0,98.89731797,36.13,1,Misaligned,17.29321673,0,10,1,Damaged,Evening,Trousers,63.29336939,27.17033609,6.98,5,1
Polyester,49.61973754,3.352460614,28.34682035,0,100,34.99,0,Misaligned,12.53006384,1,5,1,Damaged,Night,Trousers,68.72277333,27.53251591,5.96,0,0
Cotton,47.42434429,3.83210765,32.61992827,0,99.77946359,20.23,1,Aligned,11.28114892,0,5,0,Good,Evening,Blazer,61.30590208,25.92767146,3.95,1,1
Polyester,55.09929806,4.834510763,42.06295631,0,99.55892719,27.63,1,Aligned,11.36170613,1,5,0,Wet,Morning,Jeans,71.52861833,30.38991116,3.26,2,0
Linen,41.64315387,3.870204324,30.36087311,1,98.89731797,29.93,0,Misaligned,5.802035992,0,9,1,Damaged,Night,Trousers,58.55469825,27.43820447,4.25,5,1
Linen,34.70060308,3.248428523,31.9540821,1,99.77946359,20.65,1,Slightly Off,17.56774077,0,9,1,Good,Evening,Shirt,58.6536677,27.14526808,6.13,1,1
Linen,43.47904464,3.877128468,29.24901805,1,98.89731797,22.82,1,Aligned,17.95903401,0,9,1,Damaged,Night,Jeans,58.46262838,27.88629324,6.93,5,0
Polyester,52.94493466,3.863638215,31.61176696,0,99.55892719,27.74,0,Misaligned,15.0180639,1,10,0,Wet,Evening,Shirt,68.59423067,25.75499204,4.63,2,1
Linen,31.66896291,2.651556679,21.94828422,0,100,23.69,1,Aligned,15.93285586,0,2,0,Good,Night,Jeans,60.37639449,25.94940623,5.49,0,0
Linen,40.43689871,3.972852567,28.41691617,1,99.33839078,27.95,0,Misaligned,11.40456859,1,6,1,Wet,Evening,Jeans,49.70246265,28.44394569,4.4,3,1
Linen,58.16668919,3.884532735,30.21864511,1,99.55892719,27.49,1,Misaligned,9.005297574,1,7,1,Damaged,Evening,Blazer,59.23431698,29.3289325,5.47,2,1
Polyester,46.47643249,4.348103182,35.26936596,1,99.11785438,37.23,1,Misaligned,14.88598508,0,6,1,Good,Evening,Trousers,59.33447443,29.64240005,6.22,4,0
Denim,56.13956002,4.924478047,38.09946125,1,99.55892719,32.48,1,Aligned,12.90006877,1,8,1,Good,Evening,Trousers,52.87666033,26.4142764,4.41,2,1
Denim,61.31011212,4.563282515,43.82903201,0,99.33839078,39.54,0,Slightly Off,12.22378374,0,1,1,Damaged,Night,Jeans,65.22583257,27.3698372,3.52,3,0
Cotton,48.46241602,3.865555655,28.40857422,1,99.11785438,20.99,0,Aligned,13.26977536,0,3,0,Good,Night,Shirt,55.91485896,25.1805183,6.29,4,1
Polyester,39.01122955,3.446737046,31.11216977,0,99.77946359,20.66,0,Misaligned,14.00830315,0,10,1,Good,Morning,Blazer,62.05287019,29.35982557,5.58,1,0
Denim,57.28332419,5.286679902,44.86281865,0,99.77946359,34.27,0,Misaligned,7.848830037,1,6,0,Wet,Morning,Blazer,60.09760278,24.16552178,6.88,1,1
Denim,43.52186006,4.029609217,32.19528733,1,99.11785438,27.59,1,Aligned,19.44428805,1,0,1,Good,Night,Trousers,47.74226328,27.66641461,5.91,4,1
Linen,43.55109516,4.006964646,29.46009001,1,99.11785438,27.66,1,Misaligned,11.12920009,1,3,1,Wet,Evening,Blazer,45.20449902,29.63694224,5.04,4,1
Polyester,47.89040847,3.987937456,29.59873369,1,99.11785438,23.29,0,Misaligned,10.74401251,1,4,1,Wet,Night,Jeans,47.84736506,27.37712781,3.04,4,0
Denim,50.14381765,4.09904238,31.23843715,1,99.77946359,35.99,0,Misaligned,15.16373418,1,0,1,Good,Morning,Trousers,54.18841909,27.90000802,4.66,1,1
Denim,46.39056439,3.927819794,26.06533451,0,100,39.24,1,Misaligned,12.05674309,1,7,1,Damaged,Night,Shirt,70.91527037,26.18166065,6.13,0,1
Polyester,44.36195889,3.713168997,26.6949557,1,99.77946359,21.46,0,Aligned,12.51667846,0,9,0,Wet,Night,Jeans,54.52588241,21.43825905,5.33,1,0
Denim,39.46523038,3.726570529,25.36513469,1,99.77946359,37.1,0,Misaligned,16.79056706,0,2,0,Wet,Night,Blazer,58.73754654,24.97918846,6.01,1,1
Linen,49.26916091,3.983623365,35.90661193,0,99.55892719,34.73,0,Slightly Off,14.06859901,0,10,1,Wet,Morning,Blazer,63.73015775,27.13306734,5.64,2,0
Cotton,51.14204456,3.728287614,31.68168809,1,99.55892719,21.99,1,Misaligned,14.73168041,1,0,0,Good,Evening,Jeans,51.41146933,24.9328273,5.75,2,1
Polyester,42.9089669,3.643577109,31.50653917,1,98.89731797,34.76,1,Aligned,8.4597143,0,2,1,Good,Night,Blazer,50.85327768,28.4556319,3.89,5,0
Polyester,47.72714783,4.053215114,34.19221677,0,99.11785438,24.6,0,Slightly Off,13.09519031,1,7,0,Damaged,Morning,Jeans,65.5157912,22.60793004,3.26,4,0
Cotton,46.88514196,3.872511391,31.480994,0,100,37.09,1,Aligned,9.238153411,1,1,0,Good,Morning,Blazer,60.68170267,21.18752233,6.75,0,0
Cotton,62.61498223,4.751996494,42.39801295,1,99.55892719,31.42,0,Slightly Off,9.131024991,0,6,1,Damaged,Evening,Jeans,49.36011149,29.08511982,3.05,2,0
Cotton,30,2.674515096,19.5638328,1,99.11785438,32.28,1,Slightly Off,15.17789362,0,10,1,Good,Evening,Blazer,50.87654395,26.06507622,6.38,4,1
Linen,61.80327779,4.545753426,36.68603637,1,99.55892719,28.65,0,Aligned,10.79986374,1,5,1,Wet,Evening,Blazer,55.85316705,28.03913886,5.93,2,0
Denim,57.58262235,4.623042596,39.22551725,1,99.11785438,33.65,0,Aligned,12.71656973,0,6,0,Damaged,Morning,Trousers,58.29620856,25.43689784,5.89,4,1
Cotton,35.70306208,2.963304884,19.74281137,0,99.11785438,34.06,1,Aligned,16.38548919,1,4,1,Good,Night,Trousers,67.43977713,28.69422206,3.93,4,1
